Model,Accuracy,Precision,Recall,Specificity,F1-Score,F2-Score,AUC-ROC,AUC-PR,MCC,Threshold,TP,TN,FP,FN
Focal Loss NN,0.8270024397303891,0.26332253064675215,0.37317784256559766,0.8794184260416714,0.3087700746811182,0.34443862843830403,0.696869470569097,0.24205538415808306,0.2174886840506714,0.45000000000000007,9344,190650,26141,15695
Cost-Sensitive SMOTE NN,0.7905801596162594,0.23942113940282103,0.4697871320739646,0.8276312208532642,0.31719023864095997,0.39397268348885034,0.710110671199767,0.25890087543378926,0.2252056833556817,0.8000000000000002,11763,179423,37368,13276
Ensemble Bagging NN,0.8385808212380598,0.2887500377312928,0.382044011342306,0.8913100636096517,0.32890936597441894,0.358855084968301,0.7218301599225445,0.27139795035718717,0.242207863256569,0.25000000000000006,9566,193228,23563,15473
