,MME_last_365_days,MME_last_2_years,MME_prior_1_year,MME_120_2_years,prscbr_last_2_years,prscrbr_last_180_days
count,3851434.0,3851434.0,3851434.0,3851434.0,3851434.0,3851434.0
mean,103.34542800798995,132.3102009766658,85.99462657858591,0.0034771464342891506,1.2967515476053855,1.1409913813919699
std,276.8526667368744,426.72834494698606,674.9956687157411,0.10504374111892875,0.8412195776786128,0.4771701538084898
min,0.0051999999999996,0.0051999999999996,0.0,0.0,1.0,1.0
25%,30.0,30.0,0.0,0.0,1.0,1.0
50%,46.25,50.0,0.0,0.0,1.0,1.0
75%,90.0,100.0,0.0,0.0,1.0,1.0
max,53732.322857142855,106982.32285714286,359885.23451548454,142.0,59.0,28.0
